fork,seed,fork_step,branch,rng,step,ret
seed11_at356k,11,355856,sham,303,425857,708.14
seed11_at356k,11,355856,sham,303,435857,161.46
seed11_at356k,11,355856,sham,303,445857,317.79
seed11_at356k,11,355856,sham,303,455857,170.49
seed11_at356k,11,355856,sham,303,465857,0.49
seed11_at356k,11,355856,oracle,101,355857,436.03
seed11_at356k,11,355856,oracle,101,365857,512.35
seed11_at356k,11,355856,oracle,101,375857,1280.53
seed11_at356k,11,355856,oracle,101,385857,1251.57
seed11_at356k,11,355856,oracle,101,395857,817.08
seed11_at356k,11,355856,oracle,101,405857,1261.06
seed11_at356k,11,355856,oracle,101,415857,589.49
seed11_at356k,11,355856,oracle,101,425857,1279.38
seed11_at356k,11,355856,oracle,101,435857,1317.36
seed11_at356k,11,355856,oracle,101,445857,1078.87
seed11_at356k,11,355856,oracle,101,455857,1271.05
seed11_at356k,11,355856,oracle,101,465857,825.37
seed11_at356k,11,355856,oracle,202,355857,414.64
seed11_at356k,11,355856,oracle,202,365857,1000.47
seed11_at356k,11,355856,oracle,202,375857,404.17
seed11_at356k,11,355856,oracle,202,385857,1306.95
seed11_at356k,11,355856,oracle,202,395857,1297.35
seed11_at356k,11,355856,oracle,202,405857,554.13
seed11_at356k,11,355856,oracle,202,415857,1088.76
seed11_at356k,11,355856,oracle,202,425857,1385.25
seed11_at356k,11,355856,oracle,202,435857,1382.01
seed11_at356k,11,355856,oracle,202,445857,1505.29
seed11_at356k,11,355856,oracle,202,455857,1309.51
seed11_at356k,11,355856,oracle,202,465857,1289.04
seed11_at356k,11,355856,oracle,303,355857,418.16
seed11_at356k,11,355856,oracle,303,365857,738.67
seed11_at356k,11,355856,oracle,303,375857,796.5
seed11_at356k,11,355856,oracle,303,385857,1242.28
seed11_at356k,11,355856,oracle,303,395857,1294.07
seed11_at356k,11,355856,oracle,303,405857,1320.3
seed11_at356k,11,355856,oracle,303,415857,1330.95
seed11_at356k,11,355856,oracle,303,425857,1288.08
seed11_at356k,11,355856,oracle,303,435857,1232.97
seed11_at356k,11,355856,oracle,303,445857,1265.89
seed11_at356k,11,355856,oracle,303,455857,1064.27
seed11_at356k,11,355856,oracle,303,465857,1376.9
seed11_at356k,11,355856,mf,101,355857,424.89
seed11_at356k,11,355856,mf,101,365857,1191.18
seed11_at356k,11,355856,mf,101,375857,761.84
seed11_at356k,11,355856,mf,101,385857,1355.95
seed11_at356k,11,355856,mf,101,395857,1284.85
seed11_at356k,11,355856,mf,101,405857,1396.66
seed11_at356k,11,355856,mf,101,415857,1232.58
seed11_at356k,11,355856,mf,101,425857,1256.98
seed11_at356k,11,355856,mf,101,435857,1356.13
seed11_at356k,11,355856,mf,101,445857,1320.62
seed11_at356k,11,355856,mf,101,455857,1308.62
seed11_at356k,11,355856,mf,101,465857,1268.65
seed11_at356k,11,355856,mf,202,355857,426.99
seed11_at356k,11,355856,mf,202,365857,1404.39
seed11_at356k,11,355856,mf,202,375857,416.73
seed11_at356k,11,355856,mf,202,385857,886.7
seed11_at356k,11,355856,mf,202,395857,1208.04
seed11_at356k,11,355856,mf,202,405857,1146.9
seed11_at356k,11,355856,mf,202,415857,1287.05
seed11_at356k,11,355856,mf,202,425857,864.26
seed11_at356k,11,355856,mf,202,435857,1328.4
seed11_at356k,11,355856,mf,202,445857,865.68
seed11_at356k,11,355856,mf,202,455857,1336.13
seed11_at356k,11,355856,mf,202,465857,1015.79
seed11_at356k,11,355856,mf,303,355857,430.9
seed11_at356k,11,355856,mf,303,365857,961.85
seed11_at356k,11,355856,mf,303,375857,481.36
seed11_at356k,11,355856,mf,303,385857,422.08
seed11_at356k,11,355856,mf,303,395857,1022.41
seed11_at356k,11,355856,mf,303,405857,1360.99
seed11_at356k,11,355856,mf,303,415857,832.18
seed11_at356k,11,355856,mf,303,425857,1252.76
seed11_at356k,11,355856,mf,303,435857,1272.79
seed11_at356k,11,355856,mf,303,445857,1263.89
seed11_at356k,11,355856,mf,303,455857,922.86
seed11_at356k,11,355856,mf,303,465857,1236.21
