mode,label,seed,step,ret
mbq_structured_quad_roll,learned,4,40000,5.6405
mbq_structured_quad_roll,learned,4,80000,4.118
mbq_structured_quad_roll,learned,4,120000,4.088
mbq_structured_quad_roll,learned,4,160000,4.1023
mbq_structured_quad_roll,learned,4,200000,4.7859
mbq_structured_quad_roll,learned,4,240000,4.1795
mbq_structured_quad_roll,learned,4,280000,7.6278
mbq_structured_quad_roll,learned,4,320000,5.8246
mbq_structured_quad_roll,learned,4,360000,4.0657
mbq_structured_quad_roll,learned,4,400000,4.2929
mbq_structured_quad_roll,learned,4,440000,5.3679
mbq_structured_quad_roll,learned,4,480000,5.9471
mbq_structured_quad_roll,learned,5,40000,6.0511
mbq_structured_quad_roll,learned,5,80000,6.735
mbq_structured_quad_roll,learned,5,120000,13.3831
mbq_structured_quad_roll,learned,5,160000,18.0047
mbq_structured_quad_roll,learned,5,200000,14.1323
mbq_structured_quad_roll,learned,5,240000,8.8777
mbq_structured_quad_roll,learned,5,280000,5.6054
mbq_structured_quad_roll,learned,5,320000,5.2466
mbq_structured_quad_roll,learned,5,360000,7.2927
mbq_structured_quad_roll,learned,5,400000,14.3269
mbq_structured_quad_roll,learned,5,440000,4.0804
mbq_structured_quad_roll,learned,5,480000,17.1545
mbq_vhead_quad,oracle,0,40000,0.5211
mbq_vhead_quad,oracle,0,80000,3.2256
mbq_vhead_quad,oracle,0,120000,0.6427
mbq_vhead_quad,oracle,0,160000,4.4639
mbq_vhead_quad,oracle,0,200000,42.5548
mbq_vhead_quad,oracle,0,240000,0.5115
mbq_vhead_quad,oracle,0,280000,2.6564
mbq_vhead_quad,oracle,0,320000,0.7151
mbq_vhead_quad,oracle,0,360000,3.0565
mbq_vhead_quad,oracle,0,400000,31.1514
mbq_vhead_quad,oracle,0,440000,0.5334
mbq_vhead_quad,oracle,0,480000,3.1123
mbq_vhead_quad,oracle,1,40000,0.1845
mbq_vhead_quad,oracle,1,80000,1.6737
mbq_vhead_quad,oracle,1,120000,1.9716
mbq_vhead_quad,oracle,1,160000,1.4655
mbq_vhead_quad,oracle,1,200000,5.3998
mbq_vhead_quad,oracle,1,240000,0.7961
mbq_vhead_quad,oracle,1,280000,2.324
mbq_vhead_quad,oracle,1,320000,4.2057
mbq_vhead_quad,oracle,1,360000,0.1277
mbq_vhead_quad,oracle,1,400000,1.65
mbq_vhead_quad,oracle,1,440000,0.2381
mbq_vhead_quad,oracle,1,480000,1.0576
mbq_vhead_quad,oracle,2,40000,11.2532
mbq_vhead_quad,oracle,2,80000,1.1774
mbq_vhead_quad,oracle,2,120000,8.9256
mbq_vhead_quad,oracle,2,160000,1.5195
mbq_vhead_quad,oracle,2,200000,5.8086
mbq_vhead_quad,oracle,2,240000,8.6432
mbq_vhead_quad,oracle,2,280000,0.6933
mbq_vhead_quad,oracle,2,320000,9.1234
mbq_vhead_quad,oracle,2,360000,2.1185
mbq_vhead_quad,oracle,2,400000,7.4502
mbq_vhead_quad,oracle,2,440000,8.6136
mbq_vhead_quad,oracle,2,480000,0.5123
mbq_vhead_quad,oracle,3,40000,3.7876
mbq_vhead_quad,oracle,3,80000,16.2686
mbq_vhead_quad,oracle,3,120000,3.351
mbq_vhead_quad,oracle,3,160000,7.6223
mbq_vhead_quad,oracle,3,200000,10.8195
mbq_vhead_quad,oracle,3,240000,4.0102
mbq_vhead_quad,oracle,3,280000,10.0772
mbq_vhead_quad,oracle,3,320000,4.3976
mbq_vhead_quad,oracle,3,360000,10.0983
mbq_vhead_quad,oracle,3,400000,9.5824
mbq_vhead_quad,oracle,3,440000,3.6476
mbq_vhead_quad,oracle,3,480000,6.3246
mbq_vhead_quad,oracle,4,40000,2.3881
mbq_vhead_quad,oracle,4,80000,10.7467
mbq_vhead_quad,oracle,4,120000,3.0699
mbq_vhead_quad,oracle,4,160000,19.2799
mbq_vhead_quad,oracle,4,200000,23.3351
mbq_vhead_quad,oracle,4,240000,3.4364
mbq_vhead_quad,oracle,4,280000,19.489
mbq_vhead_quad,oracle,4,320000,3.9715
mbq_vhead_quad,oracle,4,360000,8.8177
mbq_vhead_quad,oracle,4,400000,15.0552
mbq_vhead_quad,oracle,4,440000,3.1707
mbq_vhead_quad,oracle,4,480000,11.7455
mbq_vhead_quad,oracle,5,40000,4.1475
mbq_vhead_quad,oracle,5,80000,16.318
mbq_vhead_quad,oracle,5,120000,11.9348
mbq_vhead_quad,oracle,5,160000,12.4013
mbq_vhead_quad,oracle,5,200000,13.0747
mbq_vhead_quad,oracle,5,240000,10.8989
mbq_vhead_quad,oracle,5,280000,7.3434
mbq_vhead_quad,oracle,5,320000,4.8613
mbq_vhead_quad,oracle,5,360000,8.5488
mbq_vhead_quad,oracle,5,400000,14.1712
mbq_vhead_quad,oracle,5,440000,7.6825
mbq_vhead_quad,oracle,5,480000,7.239
top,model-free,0,40000,1.2369
top,model-free,0,80000,2.5439
top,model-free,0,120000,20.1111
top,model-free,0,160000,3.5124
top,model-free,0,200000,3.7955
top,model-free,0,240000,0.6974
top,model-free,0,280000,2.8022
top,model-free,0,320000,30.2763
top,model-free,0,360000,0.5908
top,model-free,0,400000,2.092
top,model-free,0,440000,2.837
top,model-free,0,480000,25.8986
top,model-free,1,40000,27.869
top,model-free,1,80000,0.9864
top,model-free,1,120000,21.4914
top,model-free,1,160000,0.0799
top,model-free,1,200000,0.787
top,model-free,1,240000,0.3522
top,model-free,1,280000,6.3027
top,model-free,1,320000,29.9801
top,model-free,1,360000,0.0563
top,model-free,1,400000,0.0511
top,model-free,1,440000,0.9571
top,model-free,1,480000,3.433
top,model-free,2,40000,7.649
top,model-free,2,80000,0.4034
top,model-free,2,120000,5.6938
top,model-free,2,160000,22.6254
top,model-free,2,200000,1.1291
top,model-free,2,240000,8.6396
top,model-free,2,280000,0.2977
top,model-free,2,320000,7.3607
top,model-free,2,360000,13.7251
top,model-free,2,400000,10.0809
top,model-free,2,440000,0.8715
top,model-free,2,480000,4.82
top,model-free,3,40000,8.5893
top,model-free,3,80000,11.1684
top,model-free,3,120000,5.9047
top,model-free,3,160000,2.4032
top,model-free,3,200000,0.0525
top,model-free,3,240000,13.0627
top,model-free,3,280000,23.5201
top,model-free,3,320000,10.4025
top,model-free,3,360000,2.4947
top,model-free,3,400000,1.818
top,model-free,3,440000,10.6234
top,model-free,3,480000,10.0267
top,model-free,4,40000,27.8669
top,model-free,4,80000,24.7285
top,model-free,4,120000,10.3145
top,model-free,4,160000,1.4541
top,model-free,4,200000,1.9249
top,model-free,4,240000,19.3814
top,model-free,4,280000,14.0414
top,model-free,4,320000,0.2671
top,model-free,4,360000,5.5983
top,model-free,4,400000,2.959
top,model-free,4,440000,11.2036
top,model-free,4,480000,17.0182
top,model-free,5,40000,5.2808
top,model-free,5,80000,9.9324
top,model-free,5,120000,9.3459
top,model-free,5,160000,9.0002
top,model-free,5,200000,1.5941
top,model-free,5,240000,7.4375
top,model-free,5,280000,6.9661
top,model-free,5,320000,14.5516
top,model-free,5,360000,6.8734
top,model-free,5,400000,3.9353
top,model-free,5,440000,7.7545
top,model-free,5,480000,12.9117
