seed,step,distribution,n_states,eps_T_rms,eps_T_bias,eps_T_p95,eps_T_p99,rel_eps_T_over_dVoracle,dV_sign_err_frac,dV_spearman,target_spearman,rms_target_learned,rms_target_oracle
5,415353,ou,1500,0.0512,-0.0121,0.1099,0.2236,0.3522,0.1047,0.9137,0.9995,5.686,5.6999
5,441710,onpolicy,1500,0.1134,-0.015,0.0725,0.6342,0.3977,0.0367,0.9739,0.9999,12.5006,12.5121
5,441710,ou,1500,0.0609,-0.0138,0.1285,0.2545,0.3668,0.0927,0.9082,0.9996,5.5669,5.5822
5,467609,onpolicy,1500,0.0694,-0.0146,0.1116,0.2953,0.284,0.0587,0.9691,0.9998,9.4874,9.4997
5,467609,ou,1500,0.051,-0.0142,0.1022,0.2306,0.344,0.0553,0.9385,0.9993,5.6474,5.6622
5,493777,onpolicy,1500,0.0723,-0.0032,0.1063,0.4023,0.3567,0.046,0.946,0.9999,9.3651,9.3684
5,493777,ou,1500,0.0529,-0.0133,0.1025,0.2199,0.3335,0.0553,0.9448,0.9996,5.5956,5.6104
6,100000,onpolicy,1500,0.07,0.0022,0.1134,0.3269,0.272,0.0313,0.9868,0.9999,26.2923,26.2907
6,100000,ou,1500,0.1208,-0.0016,0.2377,0.6164,0.483,0.084,0.8766,0.9995,8.1465,8.142
6,125333,onpolicy,1500,0.0546,0.0003,0.0988,0.2334,0.2206,0.0387,0.9827,1.0,22.9992,22.9947
6,125333,ou,1500,0.19,-0.0145,0.3144,0.6241,0.4791,0.0767,0.8815,0.9991,8.069,8.0686
6,152054,onpolicy,1500,0.0378,-0.0037,0.0351,0.0824,0.2387,0.112,0.9425,0.9996,39.257,39.2575
6,152054,ou,1500,0.1845,-0.0263,0.2707,0.5805,0.4368,0.0773,0.9163,0.9995,8.107,8.1218
6,179623,onpolicy,1500,0.0493,-0.0055,0.0378,0.1625,0.294,0.058,0.9805,1.0,38.1111,38.1134
6,179623,ou,1500,0.1629,-0.0274,0.2885,0.5678,0.4308,0.0947,0.9214,0.9988,8.0139,8.0364
6,209312,onpolicy,1500,0.1124,-0.0018,0.0614,0.1483,0.4281,0.0273,0.9889,1.0,34.4709,34.4709
6,209312,ou,1500,0.1874,-0.0294,0.2427,0.4996,0.4167,0.0893,0.921,0.999,8.1977,8.2193
6,238921,onpolicy,1500,0.0815,-0.0072,0.0459,0.1207,0.4188,0.0387,0.9898,1.0,35.2681,35.2717
6,238921,ou,1500,0.1672,-0.0367,0.2862,0.4703,0.4168,0.0747,0.9193,0.9991,7.8337,7.8637
6,268668,onpolicy,1500,0.0746,-0.0095,0.0334,0.0917,0.4122,0.0533,0.9832,0.9999,39.7676,39.7734
6,268668,ou,1500,0.1713,-0.0431,0.3599,0.5641,0.4586,0.0953,0.9109,0.9992,7.84,7.8826
6,298265,onpolicy,1500,0.0821,-0.0092,0.0465,0.0762,0.4744,0.1073,0.9387,0.9997,37.8756,37.881
6,298265,ou,1500,0.1647,-0.0418,0.2847,0.5952,0.4285,0.0927,0.9122,0.9991,8.1972,8.2412
6,327848,onpolicy,1500,0.0913,-0.0074,0.0572,0.1143,0.5045,0.0293,0.9854,1.0,35.3477,35.3522
6,327848,ou,1500,0.1594,-0.045,0.2599,0.5859,0.41,0.0813,0.9128,0.9993,8.3862,8.4317
6,358054,onpolicy,1500,0.0704,-0.007,0.0672,0.1062,0.3231,0.0347,0.9857,0.9999,34.8364,34.8408
6,358054,ou,1500,0.1684,-0.0464,0.2838,0.6415,0.4259,0.1113,0.9021,0.9992,8.283,8.3282
6,387678,onpolicy,1500,0.0991,-0.0107,0.0687,0.1024,0.5339,0.088,0.9644,0.9999,36.5364,36.5429
6,387678,ou,1500,0.1702,-0.041,0.2956,0.6256,0.4597,0.084,0.913,0.9992,8.2006,8.2386
6,417471,onpolicy,1500,0.1092,-0.0104,0.0616,0.0952,0.5887,0.1253,0.9229,0.9998,38.4761,38.4813
6,417471,ou,1500,0.1733,-0.0427,0.2698,0.6396,0.4395,0.088,0.9109,0.9992,8.2666,8.3038
6,444088,onpolicy,1500,0.0925,-0.0069,0.1255,0.2978,0.3074,0.0213,0.9762,1.0,23.5893,23.5936
6,444088,ou,1500,0.1904,-0.0553,0.353,0.6507,0.4444,0.1013,0.865,0.9989,8.0078,8.059
6,470633,onpolicy,1500,0.1076,0.0072,0.2213,0.3068,0.5583,0.078,0.8882,0.9999,33.4045,33.3999
6,470633,ou,1500,0.2079,-0.0548,0.3263,0.904,0.4839,0.106,0.9032,0.9985,8.1163,8.1686
