arm,update,split,label_rmse,initial_label_rmse,label_drift_rms,interior_label_rmse,boundary_label_rmse,reset_label_rmse,rollout_label_rmse,boundary_value_rmse,hjb_rms,target_gap_rms,value_abs_max,eta_abs_mean,eta_abs_max,eta_abs_p50,eta_abs_p90,eta_abs_p99,state_gradient_norm_mean,state_gradient_norm_max,saturation_fraction,terminal_fraction
fixed_labels,600,heldout,0.5524711888292868,0.5524711888292868,0.0,0.16178040060893484,9.037072187123727,0.0001787977725885571,0.7813122276044625,9.037072187123727,1.6531405493621631,0.17526668795771233,1.3101857900619507,0.00037578321644105017,0.008788001723587513,9.682206291472539e-05,0.0008154358365572989,0.0057304068468511105,0.10857626795768738,1.7487343549728394,0.0029296875,0.00341796875
moving_labels,600,train,0.33568119100722826,0.8584716602962092,0.7539637379867816,0.07186979121721837,5.418889508372601,4.165976744394971e-05,0.47472489112803673,5.418889508372601,5.361305233679573,0.13482343714022724,5.251232147216797,0.0006893975660204887,0.014728290028870106,0.00015781930414959788,0.0019047032110393047,0.006932021584361792,0.36261534690856934,4.4114885330200195,0.007080078125,0.003662109375
moving_labels,600,heldout,0.36760957219303764,0.8272271940838031,0.7135427817496891,0.06295910683497834,6.195274066781753,4.19347708331991e-05,0.5198784409622804,6.195274066781753,5.4500067956938505,0.1246994085688953,5.042874336242676,0.0006561348563991487,0.014651009812951088,0.00016855615831445903,0.0018859701231122017,0.006264104507863522,0.3455306887626648,4.441103458404541,0.00390625,0.00341796875
online,600,train,0.33534560022126075,0.8670759095268756,0.7506527225020379,0.0724994677012418,5.410927742740781,2.3339725368698407e-05,0.47425029534073304,5.410927742740781,5.309094852098977,0.14388363237914392,5.243887901306152,0.0006982145132496953,0.013874540105462074,0.00015737387002445757,0.001826800755225122,0.007193276192992926,0.3579218089580536,4.283994197845459,0.007568359375,0.003662109375
online,600,heldout,0.3675622612921736,0.8328997354629394,0.7086726193577851,0.061587198593436275,6.198472741057865,2.3906363345824566e-05,0.5198115343861831,6.198472741057865,5.388500577546508,0.1325708800617634,5.029656410217285,0.0006644342211075127,0.014041846618056297,0.00016696174861863256,0.0017734982538968325,0.006598362699151039,0.3412000238895416,4.3157219886779785,0.0048828125,0.00341796875
fixed_labels,700,train,0.5551989947978372,0.5551989947978372,0.0,0.18251786895553263,8.66650979138069,0.00016374033456121386,0.7851699311857023,8.66650979138069,2.0309626420503912,0.20357263404461648,1.6550523042678833,0.0004902525106444955,0.01295438688248396,9.591095295036212e-05,0.0008386737899854779,0.00845897663384676,0.1318294256925583,2.3883042335510254,0.0146484375,0.003662109375
fixed_labels,700,heldout,0.5488504254920779,0.5488504254920779,0.0,0.17452383278169795,8.90238336715428,0.00016431269488093923,0.776191698053392,8.90238336715428,2.0388180228342323,0.1903814796747209,1.5493264198303223,0.0004246647877153009,0.011493860743939877,9.806351590668783e-05,0.0008541137794964015,0.007238971069455147,0.12489694356918335,2.3901078701019287,0.0078125,0.00341796875
moving_labels,700,train,0.28186047120820606,0.9937329167922532,0.9175122724896386,0.06784480957528405,4.521235399184484,2.371535032337566e-05,0.39861090037404406,4.521235399184484,6.444479250362432,0.14975585583352263,6.263928413391113,0.0007449995027855039,0.01624724268913269,0.00017358874902129173,0.002301675733178854,0.007554135285317898,0.4354306161403656,5.381165504455566,0.00927734375,0.003662109375
moving_labels,700,heldout,0.32334177262081015,0.9522920295315539,0.8701988438656684,0.0582375526253597,5.4405346106769965,2.4255329629060657e-05,0.45727431947881614,5.4405346106769965,6.572647596914457,0.14020335612347928,6.042387008666992,0.0007215351215563715,0.01702975295484066,0.00018355781503487378,0.0022682142443954945,0.006149936467409134,0.41570910811424255,5.411269187927246,0.00634765625,0.00341796875
online,700,train,0.28424826334350667,1.008707468301521,0.9089750779480266,0.07536581906016122,4.529640992426042,3.205379804023988e-05,0.40198774782342944,4.529640992426042,6.292333199689712,0.16948330900049702,6.216817855834961,0.0007698272238485515,0.015014874748885632,0.00017775603919290006,0.002132026944309473,0.00803481973707676,0.4270308315753937,5.0842976570129395,0.01123046875,0.003662109375
online,700,heldout,0.324671229987353,0.9622807793363449,0.8592634859656574,0.06166079017213364,5.452687050080104,3.181211652593138e-05,0.45915445565843155,5.452687050080104,6.400678256352761,0.15762090210215282,5.986442565917969,0.0007463177898898721,0.015910521149635315,0.00018871641077566892,0.0021094665862619877,0.006877653766423464,0.407952219247818,5.120206356048584,0.0078125,0.00341796875
fixed_labels,800,train,0.5464897179080525,0.5464897179080525,0.0,0.20062351970294212,8.40244061403753,0.00014833908813883736,0.7728531565271376,8.40244061403753,2.656893770611574,0.22757588415842256,2.04423189163208,0.0005451567703858018,0.016662873327732086,9.578801109455526e-05,0.0009212763980031013,0.010134171694517136,0.1586267501115799,3.496896505355835,0.02001953125,0.003662109375
fixed_labels,800,heldout,0.5439165757218437,0.5439165757218437,0.0,0.19124051547313703,8.711615353181825,0.00014911905612872048,0.769214183731332,8.711615353181825,2.6631921783777956,0.21083223092487585,1.9022393226623535,0.00046955107245594263,0.014832143671810627,9.612226858735085e-05,0.0009322450496256351,0.008967950008809566,0.1503998041152954,3.498492479324341,0.0126953125,0.00341796875
moving_labels,800,train,0.2260597233713681,1.1549018746895054,1.097601122444138,0.061205688197806675,3.5965715144023034,3.4555789744706484e-05,0.3196967248305436,3.5965715144023034,7.563001061596292,0.1675427858419327,7.318880558013916,0.000876932346727699,0.016589375212788582,0.000204040392418392,0.002975340699777007,0.007926366291940212,0.5207056999206543,6.377524375915527,0.010498046875,0.003662109375
moving_labels,800,heldout,0.2759964036495635,1.104897572378847,1.0444304224023533,0.05153180963177206,4.638110005091266,3.433649158585119e-05,0.3903178556971112,4.638110005091266,7.739042780865492,0.1605251869860728,7.097917556762695,0.0008637076825834811,0.018879763782024384,0.0002145337057299912,0.002892417134717107,0.007164116017520428,0.4978658854961395,6.427925109863281,0.00830078125,0.00341796875
online,800,train,0.24101456962512657,1.1379141612213937,1.0687220306501348,0.06135741172798456,3.85196633843627,5.247178053835468e-05,0.34084606905446657,3.85196633843627,6.97950600362291,0.16688491932081873,6.9408278465271,0.0008434491464868188,0.0157806184142828,0.00020292885892558843,0.0025636719074100256,0.008696713484823704,0.4819657802581787,5.550304412841797,0.012939453125,0.003662109375
online,800,heldout,0.2878905121989424,1.0810449773491313,1.0114276584827921,0.04717159285984454,4.857962971291256,5.1797569717290175e-05,0.40713866353534955,4.857962971291256,7.1057403092111135,0.15619991060291902,6.704543113708496,0.0008274310966953635,0.017338812351226807,0.00021441272110678256,0.002568815601989627,0.006859787739813328,0.4612816870212555,5.593377590179443,0.00830078125,0.00341796875
fixed_labels,900,train,0.5401276116126562,0.5401276116126562,0.0,0.20022191755926833,8.291986977150499,0.0001200889704430118,0.7638557843149609,8.291986977150499,3.0715751939684197,0.2309397850174527,2.2538065910339355,0.0005687729571945965,0.020260969176888466,8.901990804588422e-05,0.0008950390038080513,0.011796314269304276,0.16735267639160156,4.353785037994385,0.0224609375,0.003662109375
fixed_labels,900,heldout,0.540479724425271,0.540479724425271,0.0,0.18904460646322702,8.662871234116041,0.00012088601960028475,0.7643537469105547,8.662871234116041,3.065178494494811,0.21049546832355873,2.075301170349121,0.0004805328499060124,0.018229160457849503,8.969959162641317e-05,0.0008972139330580831,0.010350317694246769,0.15814770758152008,4.3567304611206055,0.013671875,0.00341796875
moving_labels,900,train,0.1811541430569451,1.3121527320282913,1.2802603456949722,0.0523347177087995,2.8663585004873107,5.0838573059413965e-05,0.2561906409469943,2.8663585004873107,8.303387133707423,0.16590441043334542,8.108348846435547,0.0011038770899176598,0.016679108142852783,0.00023895548656582832,0.003845594823360443,0.00865580327808857,0.5826599597930908,6.910098075866699,0.018310546875,0.003662109375
